place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.235267624242587,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.156089803395421,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.989428384379405,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984063510889056,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.950949531445348,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.938178715974392,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.928787177181105,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.84827242013039,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.8087609299173,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.790781666635224,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767619703347448,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.748703054984034,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.733960144077402,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.733128205713761,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,The Empire Strikes Back,8.699863387581479,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.66978585141677,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.65242914617588,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.639394408595562,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604289652387022,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.599239036650763,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.596178636730471,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588189175268417,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.5797454713029,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.578987631827035,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.568106767689947,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,Interstellar,8.564629040729349,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
27,The Green Mile,8.56229184404859,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.550359568031128,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.536345898284734,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517922684296572,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.516378337193789,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.50732921080937,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.506500362775933,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Gisaengchung,8.49824530662786,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.496156876162555,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.488389259948178,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.48624253560171,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.482761712454309,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.475658999145983,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.47211309274245,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.468874721803159,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Whiplash,8.465133923081352,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,Casablanca,8.463531198366818,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Seppuku,8.455971384296554,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
45,The Intouchables,8.454320780875387,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
46,Hotaru no haka,8.454279669424233,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
47,Modern Times,8.448751413154083,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.444186856496085,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.436085069501473,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Nuovo Cinema Paradiso,8.43445215838241,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
51,Alien,8.433894487241245,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.433699614438929,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.424073880386604,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.422293013456553,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Raiders of the Lost Ark,8.408406106260413,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
56,Django Unchained,8.406703188847715,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
57,WALL·E,8.394397573527563,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.385242346694277,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.380042633298189,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.372251051847067,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Great Dictator,8.365903627869535,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
62,The Shining,8.365807803618534,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,Avengers: Infinity War,8.36080226001112,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.360210397921767,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.343261554527103,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.334632490191156,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.333366370113104,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.329950184783192,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.327176366199817,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Oldeuboi,8.320464432619717,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71,Amadeus,8.316341995696472,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
72,Joker,8.315687626435082,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
73,Inglourious Basterds,8.3154465493835,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
74,Coco,8.314961154193297,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
75,Toy Story,8.314143425128295,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Braveheart,8.313723336899377,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
77,Das Boot,8.312231633061222,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.304448071850505,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Mononoke-hime,8.303574539317205,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.2963655038319,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Good Will Hunting,8.289550897042757,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82,Top Gun: Maverick,8.28269604463308,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
83,Kimi no Na wa,8.280817012323544,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
84,Requiem for a Dream,8.275557046400321,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85,3 Idiots,8.274261614040002,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
86,Singin' in the Rain,8.273885171287018,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,Toy Story 3,8.273350694829299,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Tengoku to jigoku,8.2704368996418,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
89,Star Wars: Episode VI - Return of the Jedi,8.265463878558682,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,Capharnaüm,8.263424660096215,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
91,Eternal Sunshine of the Spotless Mind,8.262808443217857,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,2001: A Space Odyssey,8.262778550250074,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
93,Reservoir Dogs,8.261280768484326,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94,Jagten,8.256496538598512,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Idi i smotri,8.254814303737005,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
96,Citizen Kane,8.253066957515186,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
97,M - Eine Stadt sucht einen Mörder,8.252234761312254,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,Lawrence of Arabia,8.251953145518307,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
99,North by Northwest,8.247839253729929,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
10, Vertigo,8.244453565931256,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Le fabuleux destin d'Amélie Poulain,8.243726888406142,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.24112692800475,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,The Apartment,8.240338308130431,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
104,Ikiru,8.23963438867629,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
105,Double Indemnity,8.238788566466377,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
106,Full Metal Jacket,8.23812342076565,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
107,Hamilton,8.236994534393723,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,Scarface,8.235031136880744,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
109,To Kill a Mockingbird,8.227010591990762,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,The Sting,8.2269568328652,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
111,Incendies,8.225534684290999,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
112,Up,8.22459236013177,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113,Heat,8.224434985850719,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
114,Taxi Driver,8.222772205917927,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
115,Jodaeiye Nader az Simin,8.222372034897921,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
116,Metropolis,8.22176972786353,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
117,LA Confidential,8.220650353685045,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
118,Snatch,8.218193774580739,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Die Hard,8.218101939713305,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
120,Ladri di biciclette,8.217503061354718,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Indiana Jones and the Last Crusade,8.217177849559075,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
122,Taare Zameen Par,8.212369405079937,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,1917,8.211375713123088,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Der Untergang,8.203620386021319,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Per qualche dollaro in più,8.200770683316826,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Dangal,8.19999717172343,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
127,Batman Begins,8.199050830808384,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.192732557834805,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.191476099832347,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181108130222563,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.18056663006163,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,Green Book,8.176819480958025,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,8.17535157789693,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Judgment at Nuremberg,8.170732371487496,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.164992873103964,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.164033779269378,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,Pan's Labyrinth,8.162005541994922,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
138,Unforgiven,8.160242285317972,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
139,There Will Be Blood,8.15811348465951,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
140,The Truman Show,8.157405904457855,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
141,The Sixth Sense,8.153828157979603,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142,A Beautiful Mind,8.151667856752912,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
143,Yôjinbô,8.149421383938785,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
144,Shutter Island,8.149411000156558,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
145,Spider-Man: No Way Home,8.149204935497448,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
146,Monty Python and the Holy Grail,8.148618125285184,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
147,The Treasure of the Sierra Madre,8.148115984336352,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148,Jurassic Park,8.146562299271238,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149,The Great Escape,8.141086520598087,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Rashômon,8.140904139784155,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151,Kill Bill: Vol 1,8.138158880879242,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
152,No Country for Old Men,8.137924866859208,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153,Finding Nemo,8.131607641010367,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,The Thing,8.130913139749168,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
155,The Elephant Man,8.128130780424206,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,Chinatown,8.127375344972828,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
157,Raging Bull,8.12564087459713,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,Gone with the Wind,8.124207575287503,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V for Vendetta,8.124098257278973,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,Inside Out,8.12204150019368,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,"Lock, Stock and Two Smoking Barrels",8.12154021915329,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
162,Dial M for Murder,8.119911059351828,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
163,El secreto de sus ojos,8.117876685276979,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Hauru no ugoku shiro,8.11671686785748,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,The Bridge on the River Kwai,8.112209542345775,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,"Three Billboards Outside Ebbing, Missouri",8.111552958023339,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.110957409607359,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,Warrior,8.10348634093024,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,Fargo,8.102504247051487,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
170,Gran Torino,8.102179930290959,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
171,Prisoners,8.101596142899409,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
